m,r,rho,T,P,l,eps,kappa,nabla_ad,nabla,transport
1.6953765411751482,0.5915665621594961,2.374209643139216,6329462.634131919,2012416830068572.0,13.809359551940148,0.010580093768223142,2.518127066521434,0.3976161703199172,0.1951410289689287,radiative
1.6996138576248656,0.59397953912085,2.3244259854099885,6297075.352073018,1960160936493560.5,13.809382282844199,0.01007169159034978,2.535891921508885,0.3976025002947036,0.19489643748061386,radiative
1.7126611737726087,0.6016140708663451,2.1738117204150917,6195909.7926867055,1803767044338535.0,13.809445540247623,0.008617726178354846,2.599678964199366,0.39755862279736903,0.19466936623236114,radiative
1.7252316162428,0.6092824002072079,2.0325594368673103,6096220.440599807,1659487877854533.2,13.809497666004194,0.007367315305488127,2.664740569134493,0.39751365546378276,0.1944598032715221,radiative
1.737338515459676,0.6169851663334206,1.900119828386643,5997982.857798332,1526418177666678.8,13.809540567370826,0.0062928714761922196,2.7311004297374186,0.397467582485243,0.19426658411931838,radiative
1.7489950238210223,0.6247229525061357,1.7759729769155665,5901173.571218287,1403717259825952.5,13.809575834052163,0.005370420328582223,2.798782266280329,0.3974203872960754,0.1940885727016241,radiative
1.760214108463198,0.6324962890751928,1.659627021443171,5805770.007235401,1290604680184833.5,13.809604789464876,0.004579143997565747,2.867809777272921,0.39737205252616625,0.19392465232919523,radiative
1.7710085448160497,0.6403056565596292,1.5506168641623472,5711750.4317553835,1186356166186213.8,13.809628533998051,0.0039009801378705154,2.9382065810228166,0.3973225599406282,0.19377371638300345,radiative
1.7813909109254769,0.6481514888612016,1.4485029153117945,5619093.895260366,1090299801402988.0,13.809647981474715,0.0033202700523393626,3.0099961457692173,0.3972718903645444,0.1936346585516162,radiative
1.7913735825227681,0.6560341766894171,1.3528698776101014,5527780.182198173,1001812448851843.0,13.80966388984519,0.002823450121729159,3.083201706522725,0.39722002359030284,0.1935063624550096,radiative
1.8009687288880045,0.6639540713436276,1.2633255702706223,5437789.763487668,920316399207009.6,13.809676886992833,0.0023987813952118017,3.1578461669640565,0.39716693826412003,0.19338769047216278,radiative
1.8101883092120277,0.6719114887277893,1.1794997955338065,5349103.754147253,845276233597018.5,13.809687492402949,0.0020361128065077595,3.233951981720536,0.3971126117496249,0.19327747157390168,radiative
1.8190440827250136,0.6799067259281556,1.1010431313016198,5261703.743004499,776195786959587.6,13.809696135347272,0.0017266735482423308,3.311541135234092,0.39705701987857817,0.19317448778099872,radiative
1.8275467520836828,0.6879392433862528,1.0276331741341627,5175580.506269548,712621673674166.0,13.809703169446893,0.0014629170899292878,3.3906268252766223,0.39700014262546507,0.19307746899275038,radiative
1.8357614684136485,0.696063654897794,0.9585115497988627,5090150.143446777,653750034579918.8,13.809708921593062,0.0012369122670580063,3.471775866083301,0.3969415570269009,0.1929844472677712,radiative
1.8401383903915816,0.7005507470239681,0.9224119016311637,5043676.571027277,623402019256544.5,13.809711608627461,0.0011273481687112978,3.5170939245134405,0.3969087396292554,0.1929347155421716,radiative
1.8445749776514606,0.7052191373830511,0.8863415860627438,4995851.099382124,593361846449010.8,13.809714086438591,0.001023592629694214,3.5653299623499533,0.39687424813761973,0.19292245493399676,radiative
1.8490115649113394,0.7100152171885782,0.8508032038142851,4947246.151417402,564046679251729.0,13.809716333230865,0.0009268628012557399,3.6168442453138394,0.39683849689448314,0.1929962670345018,radiative
1.8562482377125973,0.718131602010808,0.7939881843559324,4866172.339047626,517781930118806.9,13.80971954317428,0.000783373109075682,3.705378117188577,0.3967773141783362,0.19314847624696574,radiative
1.863180197878123,0.7262762915684903,0.7409189316904445,4786266.907138138,475265547678080.7,13.809722140874117,0.0006615247678573154,3.79599914722163,0.3967150850229535,0.1933382879194447,radiative
1.8698170934409606,0.7344473858770795,0.6913640662209474,4707516.075331444,436205461933125.2,13.809724240292402,0.0005581521032868241,3.8887883104551886,0.3966518529975637,0.19356954896496031,radiative
1.8761682815340823,0.7426426271838298,0.645106237320254,4629907.025527547,400331833301390.9,13.809725934716825,0.0004705376724755891,3.9838342766652324,0.3965876728219941,0.1938467759682127,radiative
1.8822428231310084,0.7508593476952498,0.6019413868246755,4553428.012143459,367395449759164.94,13.809727300410902,0.0003963509522959568,4.081234518699824,0.3965226122946883,0.19417525306673653,radiative
1.8880494779937342,0.7590944094756552,0.5616780459451014,4478068.4948737975,337166232137505.44,13.809728399638097,0.0003335951080303826,4.181096575909297,0.3964567545011852,0.19456114428344226,radiative
1.8935966998750282,0.7673441357183914,0.5241366644430254,4403819.296993536,309431840843529.4,13.809729283163975,0.00028056081991977965,4.283539486463927,0.3963902003268399,0.1950116219526377,radiative
1.8988926323578064,0.7756042331303862,0.4891489687857412,4330672.7883626195,283996376155667.6,13.809729992323737,0.00023578626649399067,4.388695405724506,0.3963230712878975,0.19553501289935268,radiative
1.9039451080012921,0.7838697092502502,0.4565573318825144,4258623.058994707,260679154812692.12,13.809730560728584,0.00019802245949029277,4.496711476151696,0.39625551265239967,0.19614096425368951,radiative
1.9087615595297134,0.7921346252608762,0.4262147248947538,4187667.447026824,239313958067570.6,13.809731015663989,0.00016620382068763037,4.607749791007295,0.3961876981487196,0.19684061607440587,radiative
1.913352390484621,0.8003981712098699,0.39796358633853357,4117754.8009369588,219733808369933.75,13.809731379496888,0.00013940349639093418,4.722076112010152,0.3961197829213676,0.1976474460915546,radiative
1.9176069228413914,0.8084262573665135,0.3723750215925008,4050764.2773639136,202271881113008.62,13.809731662882784,0.00011742324814527183,4.836620220878038,0.396053861955975,0.19854925800851894,radiative
1.9219036823207807,0.8169317204966469,0.3471210526545175,3980724.413682739,185305112422589.62,13.809731902683234,9.781538726077564e-05,4.9620341638900385,0.39598429809629004,0.19964816966047633,radiative
1.9237959042007216,0.8208146436096194,0.33618794716744754,3949072.1246802607,178046540920485.78,13.809731994953847,8.995966013668059e-05,5.013896390777777,0.3959526153157841,0.19992536165634728,radiative
1.9256881260806624,0.8247870610135849,0.32536864557567957,3916921.552392744,170918553415694.7,13.809732079726857,8.256097199438806e-05,5.0675866663542335,0.3959201556280866,0.20022725871692787,radiative
1.9295405189125552,0.833169314079589,0.30369681836619256,3849823.339322981,156810695513146.75,13.809732230963942,6.884274678198779e-05,5.183101308542365,0.39585157268286325,0.20093080848178188,radiative
1.9332024278736806,0.8415346833506523,0.2835442662434607,3783822.382967766,143903784966540.0,13.809732350806387,5.737347547593572e-05,5.301627293791702,0.3957831355588906,0.2017341276680418,radiative
1.9366800502442307,0.8498750633676007,0.2648167187871664,3718921.043263844,132101820492918.72,13.809732445637296,4.779407706751391e-05,5.4233565388594895,0.3957150901805997,0.20265135664962403,radiative
1.939979349904716,0.858181338046209,0.24742597754762571,3655123.7492908635,121316375643810.69,13.80973252057254,3.980098715587157e-05,5.548506153452835,0.39564771996082954,0.20369872965737723,radiative
1.943106073991066,0.8664433204878135,0.23128949516812333,3592436.9753919626,111465984273500.23,13.809732579706028,3.313785177260869e-05,5.677322041361497,0.3955813490723513,0.2048948374461048,radiative
1.94606577467841,0.8746497149666896,0.21632995852774534,3530869.1100962353,102475563646411.45,13.809732626308769,2.7588421587354803e-05,5.8100829690837905,0.3955163452481086,0.20626091203947788,radiative
1.9488638362289583,0.8827881100499345,0.20247487658240623,3470430.1903823228,94275873898391.16,13.809732662990145,2.297048057872688e-05,5.947105149354435,0.39545312182105363,0.20782113386607406,radiative
1.9515055072147014,0.8908450127108664,0.18965617432020634,3411131.472298192,86803012890178.11,13.809732691828401,1.9130664727773772e-05,6.0887473995614,0.3953921386735024,0.20960296250644644,radiative
1.953995930996403,0.8988059122429928,0.17780982591369898,3352984.964397003,79997963370438.72,13.809732714475992,1.59400530722648e-05,6.235416557236926,0.3953339018998183,0.2116374884449473,radiative
1.9563403166651678,0.9066558664278319,0.16687486598486023,3295999.3944838936,73805816844670.08,13.809732732245545,1.3290264197210631e-05,6.387582746224488,0.3952789585057793,0.2139599600656194,radiative
